Instance,Init,Algorithm,Cost,Time_s
N-be75tot_250,Random,Transpose_Best,20495488,0.000029
N-be75tot_250,Random,Exchange_First,30351180,4.352113
N-be75tot_250,Random,Exchange_Best,29877673,0.599261
N-be75tot_250,Random,Insert_First,30500814,3.755200
N-be75tot_250,Random,Insert_Best,30318649,0.623685
N-be75tot_250,CW,Transpose_First,26465619,0.000016
N-be75tot_250,CW,Transpose_Best,26493435,0.000030
N-be75tot_250,CW,Exchange_First,30353259,3.182166
N-be75tot_250,CW,Exchange_Best,30255002,0.556549
N-be75tot_250,CW,Insert_First,30530282,2.679328
N-be75tot_250,CW,Insert_Best,30503500,0.561664
N-be75tot_250,CW,VND_TEI,30421910,3.526792
N-be75tot_250,CW,VND_TIE,30376340,2.393373
N-stabu1_150,Random,Transpose_First,1827538,0.000007
N-stabu1_150,Random,Transpose_Best,1836079,0.000012
N-stabu1_150,Random,Exchange_First,2800349,0.355828
N-stabu1_150,Random,Exchange_Best,2769345,0.060040
N-stabu1_150,Random,Insert_First,2824108,0.390760
N-stabu1_150,Random,Insert_Best,2815434,0.072822
N-stabu1_150,CW,Transpose_First,2414897,0.000013
N-stabu1_150,CW,Transpose_Best,2424662,0.000014
N-stabu1_150,CW,Exchange_First,2823165,0.319113
N-stabu1_150,CW,Exchange_Best,2802577,0.052513
N-stabu1_150,CW,Insert_First,2810220,0.255548
N-stabu1_150,CW,Insert_Best,2836229,0.065620
N-stabu1_150,CW,VND_TEI,2833870,0.313864
N-stabu1_150,CW,VND_TIE,2810645,0.277264
N-stabu1_250,Random,Transpose_First,4880794,0.000016
N-stabu1_250,Random,Transpose_Best,4871705,0.000033
N-stabu1_250,Random,Exchange_First,7551833,4.545445
N-stabu1_250,Random,Exchange_Best,7529820,0.675224
N-stabu1_250,Random,Insert_First,7623629,4.447292
N-stabu1_250,Random,Insert_Best,7565869,0.631394
N-stabu1_250,CW,Transpose_First,6569513,0.000021
N-stabu1_250,CW,Transpose_Best,6582511,0.000030
N-stabu1_250,CW,Exchange_First,7589315,3.750476
N-stabu1_250,CW,Exchange_Best,7533872,0.468410
N-stabu1_250,CW,Insert_First,7612236,2.687220
N-stabu1_250,CW,Insert_Best,7602849,0.553350
N-stabu1_250,CW,VND_TEI,7628439,3.833856
N-stabu1_250,CW,VND_TIE,7622777,2.715519
N-stabu2_150,Random,Transpose_First,2726108,0.000009
