Instance,Init,Algorithm,Cost,Time_s,Deviation_%
N-be75tot_150,Random,Transpose_First,7763504,0.000011,36.818936
N-be75tot_150,Random,Transpose_Best,7759919,0.000011,36.848112
N-be75tot_150,Random,Exchange_First,11881492,0.348898,3.305865
N-be75tot_150,Random,Exchange_Best,11788049,0.058879,4.066324
N-be75tot_150,Random,Insert_First,11936955,0.265315,2.854495
N-be75tot_150,Random,Insert_Best,11989949,0.088944,2.423219
N-be75tot_150,CW,Transpose_First,10154073,0.000008,17.363972
N-be75tot_150,CW,Transpose_Best,10206380,0.000011,16.938286
N-be75tot_150,CW,Exchange_First,11916595,0.303023,3.020189
N-be75tot_150,CW,Exchange_Best,11777774,0.050024,4.149944
N-be75tot_150,CW,Insert_First,11999197,0.253324,2.347956
N-be75tot_150,CW,Insert_Best,11958017,0.092485,2.683088
N-be75tot_150,CW,VND_TEI,12001633,0.273988,2.328132
N-be75tot_150,CW,VND_TIE,12075342,0.239763,1.728272
N-be75tot_250,Random,Transpose_First,20410636,0.000019,34.071211
N-be75tot_250,Random,Transpose_Best,20495488,0.000031,33.797129
N-be75tot_250,Random,Exchange_First,30351180,4.495291,1.962068
N-be75tot_250,Random,Exchange_Best,29877673,0.641864,3.491552
N-be75tot_250,Random,Insert_First,30500814,3.659670,1.478732
N-be75tot_250,Random,Insert_Best,30318649,0.665008,2.067147
N-be75tot_250,CW,Transpose_First,26465619,0.000019,14.512894
N-be75tot_250,CW,Transpose_Best,26493435,0.000032,14.423045
N-be75tot_250,CW,Exchange_First,30353259,3.322678,1.955353
N-be75tot_250,CW,Exchange_Best,30255002,0.571565,2.272735
N-be75tot_250,CW,Insert_First,30530282,2.551834,1.383547
N-be75tot_250,CW,Insert_Best,30503500,0.597794,1.470056
N-be75tot_250,CW,VND_TEI,30421910,3.643838,1.733602
N-be75tot_250,CW,VND_TIE,30376340,2.275567,1.880798
N-stabu1_150,Random,Transpose_First,1827538,0.000009,36.449641
N-stabu1_150,Random,Transpose_Best,1836079,0.000016,36.152639
N-stabu1_150,Random,Exchange_First,2800349,0.395275,2.621350
N-stabu1_150,Random,Exchange_Best,2769345,0.066615,3.699475
N-stabu1_150,Random,Insert_First,2824108,0.358265,1.795160
N-stabu1_150,Random,Insert_Best,2815434,0.077926,2.096788
N-stabu1_150,CW,Transpose_First,2414897,0.000010,16.024963
N-stabu1_150,CW,Transpose_Best,2424662,0.000011,15.685398
N-stabu1_150,CW,Exchange_First,2823165,0.332168,1.827952
N-stabu1_150,CW,Exchange_Best,2802577,0.054976,2.543874
