Instance,Init,Algorithm,Cost,Time_s
N-be75tot_250,Random,Transpose_Best,20495488,0.000031
N-be75tot_250,Random,Exchange_First,30351180,4.495291
N-be75tot_250,Random,Exchange_Best,29877673,0.641864
N-be75tot_250,Random,Insert_First,30500814,3.659670
N-be75tot_250,Random,Insert_Best,30318649,0.665008
N-be75tot_250,CW,Transpose_First,26465619,0.000019
N-be75tot_250,CW,Transpose_Best,26493435,0.000032
N-be75tot_250,CW,Exchange_First,30353259,3.322678
N-be75tot_250,CW,Exchange_Best,30255002,0.571565
N-be75tot_250,CW,Insert_First,30530282,2.551834
N-be75tot_250,CW,Insert_Best,30503500,0.597794
N-be75tot_250,CW,VND_TEI,30421910,3.643838
N-be75tot_250,CW,VND_TIE,30376340,2.275567
N-stabu1_150,Random,Transpose_First,1827538,0.000009
N-stabu1_150,Random,Transpose_Best,1836079,0.000016
N-stabu1_150,Random,Exchange_First,2800349,0.395275
N-stabu1_150,Random,Exchange_Best,2769345,0.066615
N-stabu1_150,Random,Insert_First,2824108,0.358265
N-stabu1_150,Random,Insert_Best,2815434,0.077926
N-stabu1_150,CW,Transpose_First,2414897,0.000010
N-stabu1_150,CW,Transpose_Best,2424662,0.000011
N-stabu1_150,CW,Exchange_First,2823165,0.332168
N-stabu1_150,CW,Exchange_Best,2802577,0.054976
N-stabu1_150,CW,Insert_First,2810220,0.231294
N-stabu1_150,CW,Insert_Best,2836229,0.067828
N-stabu1_150,CW,VND_TEI,2833870,0.326147
N-stabu1_150,CW,VND_TIE,2810645,0.256045
N-stabu1_250,Random,Transpose_First,4880794,0.000034
N-stabu1_250,Random,Transpose_Best,4871705,0.000035
N-stabu1_250,Random,Exchange_First,7551833,4.796984
N-stabu1_250,Random,Exchange_Best,7529820,0.709096
N-stabu1_250,Random,Insert_First,7623629,4.238652
N-stabu1_250,Random,Insert_Best,7565869,0.667756
N-stabu1_250,CW,Transpose_First,6569513,0.000021
N-stabu1_250,CW,Transpose_Best,6582511,0.000035
N-stabu1_250,CW,Exchange_First,7589315,3.966136
N-stabu1_250,CW,Exchange_Best,7533872,0.489398
N-stabu1_250,CW,Insert_First,7612236,2.572249
N-stabu1_250,CW,Insert_Best,7602849,0.572210
N-stabu1_250,CW,VND_TEI,7628439,4.000642
N-stabu1_250,CW,VND_TIE,7622777,2.621387
N-stabu2_150,Random,Transpose_First,2726108,0.000009
N-stabu2_150,Random,Transpose_Best,2730307,0.000013
N-stabu2_150,Random,Exchange_First,4215338,0.405844
N-stabu2_150,Random,Exchange_Best,4231238,0.077175
N-stabu2_150,Random,Insert_First,4259868,0.373550
N-stabu2_150,Random,Insert_Best,4224250,0.068363
N-stabu2_150,CW,Transpose_First,3615368,0.000007
N-stabu2_150,CW,Transpose_Best,3642431,0.000010
N-stabu2_150,CW,Exchange_First,4233010,0.331468
N-stabu2_150,CW,Exchange_Best,4216998,0.056345
N-stabu2_150,CW,Insert_First,4257047,0.285387
N-stabu2_150,CW,Insert_Best,4252349,0.064911
N-stabu2_150,CW,VND_TEI,4255952,0.330518
N-stabu2_150,CW,VND_TIE,4260123,0.269181
N-stabu2_250,Random,Transpose_First,8062091,0.000016
N-stabu2_250,Random,Transpose_Best,8105175,0.000032
N-stabu2_250,Random,Exchange_First,11173048,4.273742
N-stabu2_250,Random,Exchange_Best,11086653,0.638025
N-stabu2_250,Random,Insert_First,11246083,3.907898
N-stabu2_250,Random,Insert_Best,11282792,0.703979
N-stabu2_250,CW,Transpose_First,9796998,0.000017
N-stabu2_250,CW,Transpose_Best,9809566,0.000025
N-stabu2_250,CW,Exchange_First,11246102,3.537208
N-stabu2_250,CW,Exchange_Best,11175831,0.619312
N-stabu2_250,CW,Insert_First,11343204,3.007181
N-stabu2_250,CW,Insert_Best,11308204,0.577792
N-stabu2_250,CW,VND_TEI,11314259,3.808453
