Instance,Init,Algorithm,Cost,Time_s
N-be75tot_250,Random,Transpose_Best,20495488,0.000033
N-be75tot_250,Random,Exchange_First,30351180,4.364892
N-be75tot_250,Random,Exchange_Best,29877673,0.606802
N-be75tot_250,Random,Insert_First,30500814,3.499126
N-be75tot_250,Random,Insert_Best,30318649,0.648850
N-be75tot_250,CW,Transpose_First,26465619,0.000019
N-be75tot_250,CW,Transpose_Best,26493435,0.000030
N-be75tot_250,CW,Exchange_First,30353259,3.154943
N-be75tot_250,CW,Exchange_Best,30255002,0.553672
N-be75tot_250,CW,Insert_First,30530282,2.498858
N-be75tot_250,CW,Insert_Best,30503500,0.588179
N-be75tot_250,CW,VND_TEI,30421910,3.489523
N-be75tot_250,CW,VND_TIE,30376340,2.241937
N-stabu1_150,Random,Transpose_First,1827538,0.000007
N-stabu1_150,Random,Transpose_Best,1836079,0.000012
N-stabu1_150,Random,Exchange_First,2800349,0.355269
N-stabu1_150,Random,Exchange_Best,2769345,0.058766
N-stabu1_150,Random,Insert_First,2824108,0.355085
N-stabu1_150,Random,Insert_Best,2815434,0.078722
N-stabu1_150,CW,Transpose_First,2414897,0.000007
N-stabu1_150,CW,Transpose_Best,2424662,0.000010
N-stabu1_150,CW,Exchange_First,2823165,0.325199
N-stabu1_150,CW,Exchange_Best,2802577,0.053342
N-stabu1_150,CW,Insert_First,2810220,0.238580
N-stabu1_150,CW,Insert_Best,2836229,0.071951
N-stabu1_150,CW,VND_TEI,2833870,0.318735
N-stabu1_150,CW,VND_TIE,2810645,0.255300
N-stabu1_250,Random,Transpose_First,4880794,0.000016
N-stabu1_250,Random,Transpose_Best,4871705,0.000029
N-stabu1_250,Random,Exchange_First,7551833,4.544123
N-stabu1_250,Random,Exchange_Best,7529820,0.681047
N-stabu1_250,Random,Insert_First,7623629,4.118816
N-stabu1_250,Random,Insert_Best,7565869,0.652784
N-stabu1_250,CW,Transpose_First,6569513,0.000025
N-stabu1_250,CW,Transpose_Best,6582511,0.000030
N-stabu1_250,CW,Exchange_First,7589315,3.753250
N-stabu1_250,CW,Exchange_Best,7533872,0.467666
N-stabu1_250,CW,Insert_First,7612236,2.509339
N-stabu1_250,CW,Insert_Best,7602849,0.572532
N-stabu1_250,CW,VND_TEI,7628439,3.803199
N-stabu1_250,CW,VND_TIE,7622777,2.518199
N-stabu2_150,Random,Transpose_First,2726108,0.000007
N-stabu2_150,Random,Transpose_Best,2730307,0.000010
N-stabu2_150,Random,Exchange_First,4215338,0.391966
N-stabu2_150,Random,Exchange_Best,4231238,0.074785
N-stabu2_150,Random,Insert_First,4259868,0.364707
N-stabu2_150,Random,Insert_Best,4224250,0.072851
N-stabu2_150,CW,Transpose_First,3615368,0.000007
N-stabu2_150,CW,Transpose_Best,3642431,0.000010
N-stabu2_150,CW,Exchange_First,4233010,0.319418
N-stabu2_150,CW,Exchange_Best,4216998,0.055001
N-stabu2_150,CW,Insert_First,4257047,0.281984
N-stabu2_150,CW,Insert_Best,4252349,0.064474
N-stabu2_150,CW,VND_TEI,4255952,0.313617
N-stabu2_150,CW,VND_TIE,4260123,0.265445
N-stabu2_250,Random,Transpose_First,8062091,0.000014
N-stabu2_250,Random,Transpose_Best,8105175,0.000026
N-stabu2_250,Random,Exchange_First,11173048,4.094122
N-stabu2_250,Random,Exchange_Best,11086653,0.602271
N-stabu2_250,Random,Insert_First,11246083,3.763967
N-stabu2_250,Random,Insert_Best,11282792,0.671664
N-stabu2_250,CW,Transpose_First,9796998,0.000017
N-stabu2_250,CW,Transpose_Best,9809566,0.000024
N-stabu2_250,CW,Exchange_First,11246102,3.395940
N-stabu2_250,CW,Exchange_Best,11175831,0.592836
N-stabu2_250,CW,Insert_First,11343204,2.901833
N-stabu2_250,CW,Insert_Best,11308204,0.574123
N-stabu2_250,CW,VND_TEI,11314259,3.603894
N-stabu2_250,CW,VND_TIE,11346299,2.412747
N-stabu3_150,Random,Transpose_First,2651712,0.000007
N-stabu3_150,Random,Transpose_Best,2647243,0.000009
N-stabu3_150,Random,Exchange_First,4398699,0.356503
N-stabu3_150,Random,Exchange_Best,4350861,0.056076
N-stabu3_150,Random,Insert_First,4459764,0.368798
N-stabu3_150,Random,Insert_Best,4432284,0.088588
N-stabu3_150,CW,Transpose_First,3761091,0.000012
N-stabu3_150,CW,Transpose_Best,3785524,0.000009
N-stabu3_150,CW,Exchange_First,4400030,0.313893
N-stabu3_150,CW,Exchange_Best,4387071,0.055865
N-stabu3_150,CW,Insert_First,4435836,0.258224
N-stabu3_150,CW,Insert_Best,4435643,0.062570
N-stabu3_150,CW,VND_TEI,4454501,0.299919
N-stabu3_150,CW,VND_TIE,4437147,0.269655
N-stabu3_250,Random,Transpose_First,7552108,0.000014
N-stabu3_250,Random,Transpose_Best,7592894,0.000027
N-stabu3_250,Random,Exchange_First,11567513,4.862708
N-stabu3_250,Random,Exchange_Best,11549906,0.641574
N-stabu3_250,Random,Insert_First,11751489,3.953624
N-stabu3_250,Random,Insert_Best,11614266,0.680899
N-stabu3_250,CW,Transpose_First,10037521,0.000016
N-stabu3_250,CW,Transpose_Best,10074173,0.000029
N-stabu3_250,CW,Exchange_First,11648757,4.192995
N-stabu3_250,CW,Exchange_Best,11578664,0.551497
N-stabu3_250,CW,Insert_First,11727769,2.935522
N-stabu3_250,CW,Insert_Best,11656789,0.564990
N-stabu3_250,CW,VND_TEI,11712428,4.054859
N-stabu3_250,CW,VND_TIE,11714351,2.747158
N-t59b11xx_150,Random,Transpose_First,2190795,0.000004
N-t59b11xx_150,Random,Transpose_Best,2197385,0.000008
N-t59b11xx_150,Random,Exchange_First,3173245,0.243507
N-t59b11xx_150,Random,Exchange_Best,3127495,0.052243
N-t59b11xx_150,Random,Insert_First,3187265,0.263340
N-t59b11xx_150,Random,Insert_Best,3173655,0.083310
N-t59b11xx_150,CW,Transpose_First,2677330,0.000005
N-t59b11xx_150,CW,Transpose_Best,2679880,0.000008
N-t59b11xx_150,CW,Exchange_First,3148520,0.184500
N-t59b11xx_150,CW,Exchange_Best,3135240,0.044527
N-t59b11xx_150,CW,Insert_First,3190210,0.168234
N-t59b11xx_150,CW,Insert_Best,3162490,0.072046
N-t59b11xx_150,CW,VND_TEI,3169290,0.243601
N-t59b11xx_150,CW,VND_TIE,3184865,0.180742
N-t59b11xx_250,Random,Transpose_First,5591620,0.000009
N-t59b11xx_250,Random,Transpose_Best,5591855,0.000011
N-t59b11xx_250,Random,Exchange_First,8156485,2.611467
N-t59b11xx_250,Random,Exchange_Best,8109395,0.605196
N-t59b11xx_250,Random,Insert_First,8225225,2.835173
N-t59b11xx_250,Random,Insert_Best,8146530,0.701878
N-t59b11xx_250,CW,Transpose_First,7040520,0.000013
N-t59b11xx_250,CW,Transpose_Best,7047045,0.000019
N-t59b11xx_250,CW,Exchange_First,8188485,2.363542
N-t59b11xx_250,CW,Exchange_Best,8135045,0.486566
N-t59b11xx_250,CW,Insert_First,8270180,2.035869
N-t59b11xx_250,CW,Insert_Best,8220960,0.671652
N-t59b11xx_250,CW,VND_TEI,8268925,3.122020
N-t59b11xx_250,CW,VND_TIE,8268325,1.956609
N-t59d11xx_150,Random,Transpose_First,944878,0.000006
N-t59d11xx_150,Random,Transpose_Best,945637,0.000008
N-t59d11xx_150,Random,Exchange_First,1420614,0.266087
N-t59d11xx_150,Random,Exchange_Best,1408677,0.058609
N-t59d11xx_150,Random,Insert_First,1433021,0.290235
N-t59d11xx_150,Random,Insert_Best,1434708,0.084492
N-t59d11xx_150,CW,Transpose_First,1225613,0.000006
N-t59d11xx_150,CW,Transpose_Best,1228680,0.000006
N-t59d11xx_150,CW,Exchange_First,1426626,0.220386
N-t59d11xx_150,CW,Exchange_Best,1417185,0.042005
N-t59d11xx_150,CW,Insert_First,1441317,0.247366
N-t59d11xx_150,CW,Insert_Best,1441103,0.068310
N-t59d11xx_150,CW,VND_TEI,1436146,0.225382
N-t59d11xx_150,CW,VND_TIE,1443691,0.217022
N-t59d11xx_250,Random,Transpose_First,2676664,0.000010
N-t59d11xx_250,Random,Transpose_Best,2685286,0.000017
N-t59d11xx_250,Random,Exchange_First,3749417,3.023306
N-t59d11xx_250,Random,Exchange_Best,3714911,0.526171
N-t59d11xx_250,Random,Insert_First,3774817,3.012757
N-t59d11xx_250,Random,Insert_Best,3782677,0.685090
N-t59d11xx_250,CW,Transpose_First,3256071,0.000008
N-t59d11xx_250,CW,Transpose_Best,3260352,0.000017
N-t59d11xx_250,CW,Exchange_First,3754827,2.497208
N-t59d11xx_250,CW,Exchange_Best,3728072,0.463723
N-t59d11xx_250,CW,Insert_First,3792906,2.029553
N-t59d11xx_250,CW,Insert_Best,3762976,0.532119
N-t59d11xx_250,CW,VND_TEI,3800277,2.969859
N-t59d11xx_250,CW,VND_TIE,3780609,1.966608
N-t59f11xx_150,Random,Transpose_First,1017299,0.000006
N-t59f11xx_150,Random,Transpose_Best,1020804,0.000009
N-t59f11xx_150,Random,Exchange_First,1489560,0.241093
N-t59f11xx_150,Random,Exchange_Best,1490221,0.055016
N-t59f11xx_150,Random,Insert_First,1514993,0.257271
N-t59f11xx_150,Random,Insert_Best,1518942,0.086417
N-t59f11xx_150,CW,Transpose_First,1282066,0.000006
N-t59f11xx_150,CW,Transpose_Best,1284294,0.000008
N-t59f11xx_150,CW,Exchange_First,1516395,0.234347
N-t59f11xx_150,CW,Exchange_Best,1490938,0.044388
N-t59f11xx_150,CW,Insert_First,1528630,0.208083
N-t59f11xx_150,CW,Insert_Best,1522456,0.077042
N-t59f11xx_150,CW,VND_TEI,1514893,0.230580
N-t59f11xx_150,CW,VND_TIE,1525458,0.221583
N-t59f11xx_250,Random,Transpose_First,2807380,0.000011
N-t59f11xx_250,Random,Transpose_Best,2812452,0.000022
N-t59f11xx_250,Random,Exchange_First,3867492,3.069713
N-t59f11xx_250,Random,Exchange_Best,3858154,0.553800
N-t59f11xx_250,Random,Insert_First,3926619,2.770367
N-t59f11xx_250,Random,Insert_Best,3886358,0.612109
N-t59f11xx_250,CW,Transpose_First,3302880,0.000008
N-t59f11xx_250,CW,Transpose_Best,3308860,0.000013
N-t59f11xx_250,CW,Exchange_First,3902339,2.672007
N-t59f11xx_250,CW,Exchange_Best,3859920,0.533008
N-t59f11xx_250,CW,Insert_First,3926705,2.080559
N-t59f11xx_250,CW,Insert_Best,3916172,0.605189
N-t59f11xx_250,CW,VND_TEI,3923064,2.953985
N-t59f11xx_250,CW,VND_TIE,3929087,2.028400
N-t59n11xx_150,Random,Transpose_First,201789,0.000005
N-t59n11xx_150,Random,Transpose_Best,202344,0.000010
N-t59n11xx_150,Random,Exchange_First,309357,0.325088
N-t59n11xx_150,Random,Exchange_Best,309362,0.070261
N-t59n11xx_150,Random,Insert_First,311760,0.241842
N-t59n11xx_150,Random,Insert_Best,315761,0.092345
N-t59n11xx_150,CW,Transpose_First,268707,0.000005
N-t59n11xx_150,CW,Transpose_Best,268569,0.000007
N-t59n11xx_150,CW,Exchange_First,309278,0.197790
N-t59n11xx_150,CW,Exchange_Best,308479,0.048866
N-t59n11xx_150,CW,Insert_First,312672,0.201307
N-t59n11xx_150,CW,Insert_Best,312580,0.061869
N-t59n11xx_150,CW,VND_TEI,311997,0.217301
N-t59n11xx_150,CW,VND_TIE,312882,0.196923
N-t59n11xx_250,Random,Transpose_First,551214,0.000010
N-t59n11xx_250,Random,Transpose_Best,551318,0.000022
N-t59n11xx_250,Random,Exchange_First,804222,3.556708
N-t59n11xx_250,Random,Exchange_Best,790131,0.518585
N-t59n11xx_250,Random,Insert_First,807724,2.510024
N-t59n11xx_250,Random,Insert_Best,803197,0.646986
